"","hightemp01","hightemp02","normal01","normal02"
"AQUIFEX_01423",19461.6900448906,19868.0516359992,613.815356105424,567.693174441526
"AQUIFEX_01759",5825.68692453396,5821.60637677993,175.375816030121,196.23961585633
"AQUIFEX_01761",5374.49929851239,5450.65098586486,161.425467027725,188.229835617296
"AQUIFEX_01723",0,0,298.936050051343,316.386319441838
"AQUIFEX_01749",0,0,149.468025025671,138.168709123334
"AQUIFEX_01600",546.59293901291,602.303914281445,536.091983092075,476.581924222516
"AQUIFEX_00897",355.782313030221,374.94415855931,444.41826107633,418.51101748952
"AQUIFEX_01033",494.915061142598,572.388156949585,492.248029084545,552.674836493338
"AQUIFEX_00789",381.621251965377,440.758824689402,408.545935070169,482.589259401791
"AQUIFEX_01325",586.345152759303,630.225287791181,571.964309098236,648.792199361745
"AQUIFEX_00706",626.097366505696,724.95851934207,727.411055124935,669.817872489209
"AQUIFEX_00252",576.407099322705,501.587531264183,525.130994590192,582.711512389715
"AQUIFEX_01237",909.33188944875,876.531689823493,850.971289146156,819.000029441215
"AQUIFEX_01290",461.125679458164,408.848683535418,400.5743070688,458.55991868469
"AQUIFEX_01330",316.030099283828,368.961007092938,360.716167061954,310.378984262563
"AQUIFEX_01404",256.401778664238,319.101411539838,247.120468042444,294.359423784495
"AQUIFEX_00841",237.519477134701,271.236199808863,303.918317552199,225.275069222828
"AQUIFEX_01362",339.881427531664,383.918885758868,365.69843456281,320.391209561355
"AQUIFEX_00646",220.624786292483,247.303593943375,292.957329050316,264.322747888118
"AQUIFEX_00306",470.069927551102,479.649309220819,427.47855157342,426.520797728554
"AQUIFEX_01516",258.389389351557,289.185654207978,310.893492053397,246.300742350292
"AQUIFEX_00589",528.704442827032,546.461167261973,446.411168076672,504.616155059135
"AQUIFEX_01493",242.488503853,217.387836611515,282.992794048605,265.323970417997
"AQUIFEX_01146",389.571694714656,370.955390915062,330.82256205682,336.410770039423
"AQUIFEX_00842",212.674343543205,210.407493234081,250.109828542957,265.323970417997
"AQUIFEX_00553",475.038954269401,450.730743800022,410.538842070511,435.531800497467
"AQUIFEX_00039",457.150458083524,478.652117309758,518.155820088994,505.617377589014
"AQUIFEX_01487",254.414167976918,293.174421852226,298.936050051343,260.317857768601
"AQUIFEX_01459",140.126553456037,197.443998390275,191.31907203286,160.195604780678
"AQUIFEX_00483",320.005320658467,313.118260073466,280.999887048262,276.337418246669
"AQUIFEX_00197",479.014175644041,517.542601841175,509.187738587454,472.577034102999
